個体識別番号,体重測定日,体重,報告
1482819234,2025/8/25,705,
1387530470,2025/8/25,580,
0869227020,2025/8/25,780,
1397629591,2025/8/25,615,
1494129574,2025/8/25,570,
1396629615,2025/8/25,635,
1578908057,2025/8/25,650,
1510517088,2025/8/25,600,
1457419025,2025/8/25,600,
1617612020,2025/8/25,570,
1417627415,2025/8/25,660,
1489617994,2025/8/25,670,
1498615578,2025/8/25,725,
0871964913,2025/8/25,595,
0871964753,2025/8/25,560,
1661609519,2025/8/25,635,
1571911016,2025/8/25,545,
1615311857,2025/8/25,695,
1512815960,2025/8/25,640,
1562909121,2025/8/25,630,
1530015557,2025/8/25,470,
1374934311,2025/8/25,525,
1408926978,2025/8/25,600,
1630444059,2025/8/25,585,
1522604028,2025/8/25,530,
1621204945,2025/8/25,630,
1609009708,2025/8/25,650,
1413336755,2025/8/25,605,
1485916145,2025/8/25,620,
1417627378,2025/8/25,540,
1402125322,2025/8/25,590,
1628813027,2025/8/25,555,
1618408745,2025/8/25,595,
1539114718,2025/8/25,570,
1415735914,2025/8/25,555,
1476893776,2025/8/25,510,
1530015854,2025/8/25,545,
1533614931,2025/8/25,595,
1375061702,2025/8/25,565,
1492518004,2025/8/25,480,
1669904760,2025/8/25,500,
1528206936,2025/8/25,650,
1432835499,2025/8/25,550,
1385941407,2025/8/25,510,
1542323848,2025/8/25,590,
1491304134,2025/8/25,590,
1636903994,2025/8/25,615,
1374433876,2025/8/25,510,
1409861322,2025/8/25,510,
1613059805,2025/8/25,635,
1598613993,2025/8/25,520,
1639204777,2025/8/25,585,
0872018387,2025/8/25,590,
1620608904,2025/8/25,600,
1658837765,2025/8/25,505,
1650821854,2025/8/25,625,
1488916142,2025/8/25,590,
1453721535,2025/8/25,575,
1469105312,2025/8/25,650,
1531215727,2025/8/25,610,
1448904998,2025/8/25,550,
1607510084,2025/8/25,565,
1582908890,2025/8/25,655,
1576707836,2025/8/25,520,
1482558102,2025/8/25,525,
1546914509,2025/8/25,565,
1604422434,2025/8/25,505,
1606160136,2025/8/25,670,
1661618481,2025/8/25,580,
1377235170,2025/8/25,610,
1527615760,2025/8/25,555,
1406524831,2025/8/25,560,
1644852246,2025/8/25,605,
1679426726,2025/9/25,680,
1635309506,2025/9/25,675,
1600612327,2025/9/25,655,
0866964768,2025/9/25,720,
1657709414,2025/9/25,625,
0867584514,2025/9/25,635,
1550414682,2025/9/25,670,
1496712736,2025/9/25,815,
1476417323,2025/9/25,700,
1387530470,2025/9/25,595,
1397629591,2025/9/25,650,
1494129574,2025/9/25,645,
1396629615,2025/9/25,665,
1510517088,2025/9/25,665,
1457419025,2025/9/25,640,
1617612020,2025/9/25,565,
1489617994,2025/9/25,700,
1498615578,2025/9/25,750,
0871964913,2025/9/25,615,
0871964753,2025/9/25,600,
1661609519,2025/9/25,675,
1571911016,2025/9/25,580,
1615311857,2025/9/25,745,
1512815960,2025/9/25,675,
1562909121,2025/9/25,650,
1408926978,2025/9/25,595,
1630444059,2025/9/25,640,
1522604028,2025/9/25,580,
1621204945,2025/9/25,695,
1609009708,2025/9/25,720,
1413336755,2025/9/25,640,
1485916145,2025/9/25,670,
1417627378,2025/9/25,590,
1402125322,2025/9/25,645,
1628813027,2025/9/25,585,
1618408745,2025/9/25,640,
1539114718,2025/9/25,625,
1415735914,2025/9/25,610,
1476893776,2025/9/25,560,
1530015854,2025/9/25,565,
1533614931,2025/9/25,590,
1375061702,2025/9/25,615,
1492518004,2025/9/25,500,
1669904760,2025/9/25,540,
1528206936,2025/9/25,710,
1432835499,2025/9/25,540,
1542323848,2025/9/25,615,
1491304134,2025/9/25,625,
1636903994,2025/9/25,645,
1374433876,2025/9/25,535,
1409861322,2025/9/25,560,
1613059805,2025/9/25,670,
1639204777,2025/9/25,600,
0872018387,2025/9/25,585,
1620608904,2025/9/25,585,
1658837765,2025/9/25,510,
1650821854,2025/9/25,620,
1488916142,2025/9/25,560,
1453721535,2025/9/25,595,
1469105312,2025/9/25,725,
1531215727,2025/9/25,600,
1448904998,2025/9/25,555,
1607510084,2025/9/25,575,
1576707836,2025/9/25,550,
1546914509,2025/9/25,595,
1604422434,2025/9/25,525,
1606160136,2025/9/25,710,
1661618481,2025/9/25,605,
1377235170,2025/9/25,655,
1527615760,2025/9/25,590,
1406524831,2025/9/25,595,
1644852246,2025/9/25,670,
1522013318,2025/9/25,515,
1610781112,2025/9/25,595,
1668904419,2025/9/25,530,
1374424577,2025/9/25,650,
1354897551,2025/9/25,520,
1661630971,2025/9/25,550,
1552013869,2025/9/25,670,
1612204176,2025/9/25,610,
1505512067,2025/9/25,640,
1363926587,2025/9/25,740,
1411319330,2025/9/25,690,
1608309632,2025/9/25,660,
1593212467,2025/9/25,595,
0861265099,2025/9/25,615,
0865887617,2025/9/25,615,
1525410985,2025/9/25,610,
1584523879,2025/9/25,620,
0870014671,2025/9/25,640,
1438512639,2025/9/25,660,
1477130658,2025/9/25,635,
1664426380,2025/9/25,585,
1492518950,2025/9/25,680,
1628337240,2025/9/25,615,
1592903120,2025/9/25,600,
1618350952,2025/9/25,630,
1660408489,2025/9/25,620,
1652717681,2025/9/25,655,
1594810020,2025/9/25,605,
1627051185,2025/9/25,,
1363849930,2025/9/25,,
0867584514,2025/10/1,654,×
1387530470,2025/10/1,610,×
1510517088,2025/10/1,636,×
1607510084,2025/10/1,570,×
1576707836,2025/10/1,550,×
0866268057,2025/10/13,650,×
1594810020,2025/10/13,610,×
1661630971,2025/10/13,654,×
1374424577,2025/10/13,688,×
1552013869,2025/10/13,700,×
1604422434,2025/10/13,542,×
1374433876,2025/10/13,594,×
1652717681,2025/10/13,676,×
1431920325,2025/10/13,580,×
1584523879,2025/10/16,628,×
1525410985,2025/10/16,592,×
0861265099,2025/10/16,660,×
1510517088,2025/10/16,652,×
1607510084,2025/10/16,586,×
1432835499,2025/10/16,594,×
1409861322,2025/10/16,612,×
0867584514,2025/10/16,678,×
1593212467,2025/10/16,630,×
0871964753,2025/10/16,640,×
1531215727,2025/10/16,616,×
1453721535,2025/10/16,644,×
1448904998,2025/10/16,606,×
1609009708,2025/10/16,764,×
1457419025,2025/10/16,676,×
1650821854,2025/10/16,662,×
1658837765,2025/10/16,548,×
1620608904,2025/10/16,704,×
1488916142,2025/10/16,622,×
1657709414,2025/10/16,692,×
1571911016,2025/10/16,616,×
1375061702,2025/10/16,626,×
0867584514,2025/10/25,682,
1657709414,2025/10/25,682,
1387530470,2025/10/25,630,
0871964913,2025/10/25,628,
0871964753,2025/10/25,642,
1571911016,2025/10/25,618,
1562909121,2025/10/25,676,
1609009708,2025/10/25,758,
1408926978,2025/10/25,654,
1630444059,2025/10/25,696,
1522604028,2025/10/25,636,
1413336755,2025/10/25,656,
1417627378,2025/10/25,634,
1402125322,2025/10/25,690,
1628813027,2025/10/25,638,
1485916145,2025/10/25,654,
1618408745,2025/10/25,680,
1539114718,2025/10/25,648,
1415735914,2025/10/25,634,
1530015854,2025/10/25,614,
1375061702,2025/10/25,628,
1492518004,2025/10/25,580,
1669904760,2025/10/25,602,
1528206936,2025/10/25,792,
1432835499,2025/10/25,572,
1542323848,2025/10/25,636,
1491304134,2025/10/25,666,
1636903994,2025/10/25,700,
1374433876,2025/10/25,580,
1409861322,2025/10/25,606,
1613059805,2025/10/25,750,
1639204777,2025/10/25,664,
0872018387,2025/10/25,680,
1620608904,2025/10/25,684,
1488916142,2025/10/25,630,
1618350952,2025/10/25,666,
1469105312,2025/10/25,794,
1660408489,2025/10/25,598,
1628337240,2025/10/25,660,
1607510084,2025/10/25,596,
1576707836,2025/10/25,562,
1546914509,2025/10/25,626,
